,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
0,query_es2_1_1.load.inserts,query_es2_1_1,es2,load.inserts,load,load,1,1,3633557.09704,3.63355709704,174.4612,271.27251296349624,271.27251296349624,47326.528138627116,0.0,3619789.5,3987016.0,4174331.5,4355381.199999999,5112947.996666663,1,1,52955206.0,2210569.0,368632999000.0,0.0,100000.0,100000.0,17446120.0,6776634481.0
1,query_es2_1_1.q1.reads,query_es2_1_1,es2,q1.reads,fixed_10: fixed_hf,1,1,1,488826.1352,0.48882613519999996,388.0,1913.143294432753,1913.143294432753,742299.5982399081,0.0,486963.0,494150.6,497868.0,503418.85,515533.0,1,1,792725.0,474729.0,5227000000.0,0.0,10000.0,10000.0,3880000.0,370894335905.0
2,query_es2_1_1.q2.reads,query_es2_1_1,es2,q2.reads,fixed_10: uar,2,1,1,6546379.8812,6.5463798812,361.1233,151.2287357463703,141.29300780783376,54612.2201075572,0.0,593222.0,723490.0,804596.2,90573077.05,91836409.64333335,1,1,114827600.0,454298.0,66124999000.0,0.0,10000.0,9343.0,3611233.0,376442597945.0
3,query_es2_1_1.q3.reads,query_es2_1_1,es2,q3.reads,"uar_[6,10]: uar",3,1,1,6257407.9664,6.257407966400001,362.1092,158.55650412336496,148.5357330627683,57414.768862908386,0.0,581640.5,704610.8,804897.5,88798338.39999999,91600304.68666667,1,1,93391100.0,450311.0,63068999000.0,0.0,10000.0,9368.0,3621092.0,442270441960.0
4,query_es2_1_1.q4.reads,query_es2_1_1,es2,q4.reads,"uar_[6,10]: uar_alllow",4,1,1,6948818.8361,6.948818836100001,359.1627,143.03491686860693,132.87943777093585,51372.806936804416,0.0,589403.5,715487.3999999999,820218.6333333333,89115736.44999999,91691168.43666668,1,1,93000154.0,449745.0,69912999000.0,0.0,10000.0,9290.0,3591627.0,504705679926.0
5,query_es2_1_1.q5.reads,query_es2_1_1,es2,q5.reads,fixed_int: int,5,1,1,3920933.11174,3.9209331117399993,0.0,227.6167389349813,0.0,0.0,0.0,3919200.5,3932805.0,3940383.8,3947000.0,3964147.583333333,1,1,5528510.0,3870087.0,439335000000.0,0.0,100000.0,0.0,0.0,622331986631.0
6,query_es2_1_1.q6.7,query_es2_1_1,es2,q6.7,fixed_int: int_txn,6,1,1,5073012.102025,5.073012102025,0.0,326.91276659736116,0.0,0.0,0.0,5147295.5,6066411.6,6266732.766666667,6520088.649999999,6985165.51,1,1,16911818.0,3938212.0,611784000000.0,0.0,200000.0,0.0,0.0,611691376667.0
7,query_es2_1_4.load.inserts,query_es2_1_4,es2,load.inserts,load,load,1,4,8028088.19264,8.028088192639999,174.4612,464.08665641384766,464.08665641384766,80965.11498194755,0.0,4353329.5,8550492.600000001,14092164.433333332,21109179.099999987,34611996.91666666,4,4,6082300896.0,2310057.0,215476999000.0,0.0,100000.0,100000.0,17446120.0,21387441287.0
8,query_es2_1_4.q1.reads,query_es2_1_4,es2,q1.reads,fixed_10: fixed_hf,1,1,4,558011.9477,0.5580119477000001,384.0,6711.4093959731545,6711.4093959731545,2577181.2080536913,0.0,556285.0,568773.6,575974.7,582419.0,596887.4433333334,4,4,973920.0,515850.0,1490000000.0,0.0,10000.0,10000.0,3840000.0,879149988868.0
9,query_es2_1_4.q2.reads,query_es2_1_4,es2,q2.reads,fixed_10: uar,2,1,4,6915648.4264,6.9156484264,360.1599,544.2473059758355,506.85751605529555,196016.0552955263,0.0,594287.5,734247.0,879403.0333333333,92170636.5,93780247.58333333,4,4,99440599.0,442291.0,18374000000.0,0.0,10000.0,9313.0,3601599.0,885446690564.0
