,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
0,query_es2_1_1.load.inserts,query_es2_1_1,es2,load.inserts,load,load,1,1,4725022.59411,4.72502259411,156.5451,209.25667886477558,209.25667886477558,32758.107718554176,0.0,4654626.0,5057648.6,5294417.766666667,5482200.0,5843013.39,1,1,55841525.0,3275876.0,477881999000.0,0.0,100000.0,100000.0,15654510.0,5465310850.0
1,query_es2_1_1.q1.reads,query_es2_1_1,es2,q1.reads,fixed_10: fixed_hf,1,1,1,503559.8255,0.5035598255,367.0,1851.1662347278784,1851.1662347278784,679378.0081451314,0.0,501775.0,506936.0,513604.06666666665,517685.0,529102.89,1,1,1814034.0,482486.0,5402000000.0,0.0,10000.0,10000.0,3670000.0,478764801882.0
2,query_es2_1_1.q2.reads,query_es2_1_1,es2,q2.reads,fixed_10: uar,2,1,1,504117.9633,0.5041179633,369.1339,1745.2010026528799,1745.2010026528799,644212.8523931679,0.0,502998.0,510472.60000000003,515565.0666666667,520903.4,534586.67,1,1,607864.0,487721.0,5729999000.0,0.0,10000.0,10000.0,3691339.0,484627129353.0
3,query_es2_1_1.q3.reads,query_es2_1_1,es2,q3.reads,"uar_[6,10]: uar",3,1,1,600632.3434,0.6006323434,369.0675,1534.9194167306216,1534.9194167306216,566488.8718342287,0.0,564965.5,689725.8,766243.3333333333,832345.05,957665.4666666677,1,1,1155234.0,459291.0,6515000000.0,0.0,10000.0,10000.0,3690675.0,490854881198.0
4,query_es2_1_1.q4.reads,query_es2_1_1,es2,q4.reads,"uar_[6,10]: uar_alllow",4,1,1,603750.2294,0.6037502294,369.1568,1529.2860573919647,1529.2860573919647,564546.347231434,0.0,568904.0,689330.0,764241.9666666667,840302.7999999999,959025.9233333343,1,1,1115629.0,464395.0,6538999000.0,0.0,10000.0,10000.0,3691568.0,498035342533.0
5,query_es2_1_4.load.inserts,query_es2_1_4,es2,load.inserts,load,load,1,4,14487438.50393,14.48743850393,156.5451,267.9722280764477,267.9722280764477,41949.73924145032,0.0,8172771.0,16020269.0,25035876.099999994,30683215.25,65402059.726666614,4,4,6116369746.0,3865508.0,373172999000.0,0.0,100000.0,100000.0,15654510.0,14387928022.0
6,query_es2_1_4.q1.reads,query_es2_1_4,es2,q1.reads,fixed_10: fixed_hf,1,1,4,543282.1297,0.5432821297,367.0,6640.110650803885,6640.110650803885,2436920.6088450258,0.0,533559.5,558523.0,578668.1333333333,615444.7,718749.7066666668,4,4,2452463.0,490496.0,1505999000.0,0.0,10000.0,10000.0,3670000.0,1504071055425.0
7,query_es2_1_4.q2.reads,query_es2_1_4,es2,q2.reads,fixed_10: uar,2,1,4,546330.6974,0.5463306974,369.1619,6317.123384158802,6317.123384158802,2332041.2710304935,0.0,546232.0,571494.0,583027.4333333333,591987.2,612749.0,4,4,905245.0,489003.0,1582999000.0,0.0,10000.0,10000.0,3691619.0,1510963441873.0
8,query_es2_1_4.q3.reads,query_es2_1_4,es2,q3.reads,"uar_[6,10]: uar",3,1,4,624449.463,0.6244494629999999,369.0822,5757.055703543871,5757.055703543871,2124826.7845865195,0.0,590139.5,716367.0,790446.7,853334.3999999999,956620.4000000001,4,4,1317466.0,461829.0,1736999000.0,0.0,10000.0,10000.0,3690822.0,1519888648502.0
9,query_es2_1_4.q4.reads,query_es2_1_4,es2,q4.reads,"uar_[6,10]: uar_alllow",4,1,4,625283.223,0.6252832229999999,369.1138,5740.52812858783,5740.52812858783,2118908.151549943,0.0,590587.0,719025.6000000001,793110.7666666666,853960.0499999999,956544.7533333336,4,4,1251425.0,459162.0,1742000000.0,0.0,10000.0,10000.0,3691138.0,1529533183108.0
10,query_es2_1_8.load.inserts,query_es2_1_8,es2,load.inserts,load,load,1,8,26801778.10811,26.80177810811,156.5451,283.68794326241135,283.68794326241135,44409.95744680851,0.0,11884659.0,20360756.6,30307622.9,48821179.449999794,170494449.27666658,8,8,16142243792.0,4043425.0,352500000000.0,0.0,100000.0,100000.0,15654510.0,48786367936.0
11,query_es2_1_8.q1.reads,query_es2_1_8,es2,q1.reads,fixed_10: fixed_hf,1,1,8,592254.9506,0.5922549506,370.0,11990.422050865767,11990.422050865767,4436456.158820334,0.0,562608.5,594966.2,641430.6,738460.5499999999,897843.9433333336,8,8,12009906.0,494240.0,833999000.0,0.0,10000.0,10000.0,3700000.0,2865922104793.0
12,query_es2_1_8.q2.reads,query_es2_1_8,es2,q2.reads,fixed_10: uar,2,1,8,591329.0782,0.5913290782,369.0218,11792.45283018868,11792.45283018868,4351672.1698113205,0.0,569320.0,599536.6,667919.8999999999,772167.1999999996,919760.7633333334,8,8,1345940.0,503913.0,848000000.0,0.0,10000.0,10000.0,3690218.0,2874035860077.0
13,query_es2_1_8.q3.reads,query_es2_1_8,es2,q3.reads,"uar_[6,10]: uar",3,1,8,664180.3473,0.6641803472999999,369.1337,11001.112212444677,11001.112212444677,4060881.25509489,0.0,632380.0,763222.8,833280.9666666667,894941.25,1033483.7266666675,8,8,1330687.0,484246.0,908999000.0,0.0,10000.0,10000.0,3691337.0,2886099989838.0
14,query_es2_1_8.q4.reads,query_es2_1_8,es2,q4.reads,"uar_[6,10]: uar_alllow",4,1,8,658428.8139,0.6584288139000001,369.1537,11001.100110011,11001.100110011,4061096.809680968,0.0,625064.5,757978.8,826547.9,890353.8499999999,1036523.9900000002,8,8,1494574.0,478584.0,909000000.0,0.0,10000.0,10000.0,3691537.0,2898683430381.0
15,query_es2_1_16.load.inserts,query_es2_1_16,es2,load.inserts,load,load,1,16,41826836.46595,41.826836465949995,156.5451,355.40391781427985,355.40391781427985,55636.74185462822,0.0,11640597.0,25395686.800000004,39182569.666666664,65022686.09999995,553841001.0233333,16,16,19137694272.0,4007693.0,281369999000.0,0.0,100000.0,100000.0,15654510.0,184504675597.0
16,query_es2_1_16.q1.reads,query_es2_1_16,es2,q1.reads,fixed_10: fixed_hf,1,1,16,804944.6935,0.8049446935,370.0,17035.775127768313,17035.775127768313,6303236.797274277,0.0,695618.0,985973.0,1162041.633333333,1354776.95,1804642.8866666697,16,16,11921691.0,498957.0,587000000.0,0.0,10000.0,10000.0,3700000.0,4689600416299.0
17,query_es2_1_16.q2.reads,query_es2_1_16,es2,q2.reads,fixed_10: uar,2,1,16,823763.7504,0.8237637504,369.1043,16051.390130642265,16051.390130642265,5924637.118197622,0.0,684082.0,1026034.2000000001,1180707.4666666668,1433510.0,1975674.1400000039,16,16,18110000.0,502247.0,622999000.0,0.0,10000.0,10000.0,3691043.0,4701570379977.0
18,query_es2_1_16.q3.reads,query_es2_1_16,es2,q3.reads,"uar_[6,10]: uar",3,1,16,867324.2597,0.8673242597,369.0885,16129.032258064517,16129.032258064517,5953040.322580645,0.0,779930.5,1039854.6000000001,1235706.6333333333,1404192.4499999995,1836069.6666666684,16,16,10584863.0,477451.0,620000000.0,0.0,10000.0,10000.0,3690885.0,4722312532064.0
19,query_es2_1_16.q4.reads,query_es2_1_16,es2,q4.reads,"uar_[6,10]: uar_alllow",4,1,16,881936.0448,0.8819360448,369.1397,15527.950310559007,15527.950310559007,5731982.919254658,0.0,802109.0,1059650.6,1277073.3666666667,1428154.9999999998,1894977.6766666682,16,16,11577812.0,470616.0,644000000.0,0.0,10000.0,10000.0,3691397.0,4742905778214.0
20,query_es2_4_1.load.inserts,query_es2_4_1,es2,load.inserts,load,load,4,1,5539950.12262,5.53995012262,156.5451,178.7364406067745,178.7364406067745,27980.313968431572,0.0,5509850.0,6023768.8,6353854.033333333,6794399.349999998,8641825.526666665,1,1,56801459.0,3611033.0,559483000000.0,0.0,100000.0,100000.0,15654510.0,5571419966.0
21,query_es2_4_1.q1.reads,query_es2_4_1,es2,q1.reads,fixed_10: fixed_hf,1,4,1,485183.3467,0.4851833467,367.0,1930.129691204341,1930.129691204341,708357.5966719931,0.0,483104.0,488458.0,495970.06666666665,498973.2,511849.5033333334,1,1,1814677.0,459987.0,5180999000.0,0.0,10000.0,10000.0,3670000.0,560340256812.0
22,query_es2_4_1.q2.reads,query_es2_4_1,es2,q2.reads,fixed_10: uar,2,4,1,480140.9423,0.4801409423,369.1339,1838.2352941176468,1838.2352941176468,678554.9632352941,0.0,478033.5,484827.80000000005,491405.1333333333,495440.25,508025.1000000001,1,1,597631.0,466452.0,5440000000.0,0.0,10000.0,10000.0,3691339.0,565964046558.0
23,query_es2_4_1.q3.reads,query_es2_4_1,es2,q3.reads,"uar_[6,10]: uar",3,4,1,569339.2302,0.5693392302,369.0675,1623.640201331385,1623.640201331385,599232.8300048709,0.0,532755.5,655346.0,734182.0333333333,801831.2999999999,930898.8766666676,1,1,1123888.0,426823.0,6159000000.0,0.0,10000.0,10000.0,3690675.0,571886811195.0
24,query_es2_4_1.q4.reads,query_es2_4_1,es2,q4.reads,"uar_[6,10]: uar_alllow",4,4,1,578800.2612,0.5788002612,369.1568,1600.0,1600.0,590650.88,0.0,543270.0,662909.0,735772.7,814582.0999999999,942264.2033333338,1,1,1134226.0,445440.0,6250000000.0,0.0,10000.0,10000.0,3691568.0,578695372376.0
25,query_es2_4_4.load.inserts,query_es2_4_4,es2,load.inserts,load,load,4,4,9456769.14174,9.456769141740002,156.5451,409.88646145017833,409.88646145017833,64165.71709636431,0.0,6239262.0,11058641.000000002,15926381.733333332,22424173.19999997,39064430.41333331,4,4,6087583248.0,3684015.0,243970000000.0,0.0,100000.0,100000.0,15654510.0,13954303403.0
26,query_es2_4_4.q1.reads,query_es2_4_4,es2,q1.reads,fixed_10: fixed_hf,1,4,4,546759.923,0.5467599230000001,370.0,6811.989100817439,6811.989100817439,2520435.9673024523,0.0,543143.0,558623.4,568251.0,577382.85,605308.2766666666,4,4,2694511.0,493313.0,1468000000.0,0.0,10000.0,10000.0,3700000.0,986595582763.0
27,query_es2_4_4.q2.reads,query_es2_4_4,es2,q2.reads,fixed_10: uar,2,4,4,546120.3619,0.5461203619,369.1263,6414.368184733803,6414.368184733803,2367711.9948685053,0.0,545510.0,561481.6,569872.0666666667,576994.55,591102.0866666667,4,4,789561.0,504693.0,1559000000.0000002,0.0,10000.0,10000.0,3691263.0,993307413789.0
28,query_es2_4_4.q3.reads,query_es2_4_4,es2,q3.reads,"uar_[6,10]: uar",3,4,4,727741.4656,0.7277414655999999,369.069,5099.439061703213,5099.439061703213,1882044.8750637432,0.0,665868.0,910263.0000000001,1050154.7,1173225.4,1351379.0866666667,4,4,2098445.0,459606.0,1960999999.9999998,0.0,10000.0,10000.0,3690690.0,1001970171189.0
