,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
0,query_es2_1_1.load.inserts,query_es2_1_1,es2,load.inserts,load,load,1,1,3988459.9521,3.9884599521000004,156.5451,247.60197487335157,247.60197487335157,38760.87591674631,0.0,3874538.5,4469598.0,4892764.833333333,5383765.1499999985,7275046.996666663,1,1,56949056.0,2341036.0,403874000000.0,0.0,100000.0,100000.0,15654510.0,5111896847.0
1,query_es2_1_1.q1.reads,query_es2_1_1,es2,q1.reads,fixed_10: fixed_hf,1,1,1,501659.4161,0.5016594161,367.0,1864.2803877703207,1864.2803877703207,684190.9023117077,0.0,500047.0,503461.0,508421.06666666665,513707.85,520386.84,1,1,1782874.0,492006.0,5364000000.0,0.0,10000.0,10000.0,3670000.0,404798417338.0
2,query_es2_1_1.q2.reads,query_es2_1_1,es2,q2.reads,fixed_10: uar,2,1,1,506725.5531,0.5067255531,369.1339,1748.863544747035,1748.863544747035,645564.8208402975,0.0,505422.0,508191.2,511736.06666666665,518103.19999999995,526914.9766666667,1,1,642829.0,497824.0,5717999000.0,0.0,10000.0,10000.0,3691339.0,410598077896.0
3,query_es2_1_1.q3.reads,query_es2_1_1,es2,q3.reads,"uar_[6,10]: uar",3,1,1,648105.8281,0.6481058281,369.0675,1437.8147286577612,1437.8147286577612,530650.6873688983,0.0,595790.0,783865.8,899325.8999999999,1009603.2,1181004.2900000012,1,1,1642505.0,448061.0,6954999000.0,0.0,10000.0,10000.0,3690675.0,416789592397.0
4,query_es2_1_1.q4.reads,query_es2_1_1,es2,q4.reads,"uar_[6,10]: uar_alllow",4,1,1,644563.1142,0.6445631141999999,369.1568,1446.5501875524646,1446.5501875524646,534003.8382762676,0.0,591921.0,777110.4000000001,887575.7333333334,1009580.15,1185062.1500000001,1,1,1423237.0,448242.0,6912999000.0,0.0,10000.0,10000.0,3691568.0,424384578456.0
5,query_es2_1_4.load.inserts,query_es2_1_4,es2,load.inserts,load,load,1,4,12474312.23978,12.47431223978,156.5451,313.89092917992855,313.89092917992855,49138.08689756483,0.0,5512627.5,9580134.600000001,17312091.5,24253925.649999995,88639089.02666666,4,4,9107691427.0,2336445.0,318582000000.0,0.0,100000.0,100000.0,15654510.0,14647892947.0
6,query_es2_1_4.q1.reads,query_es2_1_4,es2,q1.reads,fixed_10: fixed_hf,1,1,4,528520.1208,0.5285201208,362.0,6891.8035091685115,6891.8035091685115,2494832.870319001,0.0,528981.0,547513.6,557126.0666666667,564748.2,584440.2266666667,4,4,1789720.0,475233.0,1450999000.0,0.0,10000.0,10000.0,3620000.0,1285199195289.0
7,query_es2_1_4.q2.reads,query_es2_1_4,es2,q2.reads,fixed_10: uar,2,1,4,537327.9974,0.5373279974,369.1465,6514.662224535651,6514.662224535651,2404864.7588695497,0.0,537145.0,554175.0,563143.0,571623.8500000001,588813.81,4,4,797802.0,479673.0,1534999000.0,0.0,10000.0,10000.0,3691465.0,1291849750038.0
8,query_es2_1_4.q3.reads,query_es2_1_4,es2,q3.reads,"uar_[6,10]: uar",3,1,4,633840.4239,0.6338404239000001,369.1695,5757.055703543871,5757.055703543871,2125329.375549439,0.0,598228.5,742279.6000000001,815961.9333333333,881332.0999999997,998691.3366666669,4,4,1263623.0,452234.0,1736999000.0,0.0,10000.0,10000.0,3691695.0,1300410526728.0
9,query_es2_1_4.q4.reads,query_es2_1_4,es2,q4.reads,"uar_[6,10]: uar_alllow",4,1,4,636681.7035,0.6366817035,369.205,5740.52812858783,5740.52812858783,2119431.6877152696,0.0,599060.5,743928.8,824751.1666666666,896633.5,1022972.1233333338,4,4,1247746.0,456279.0,1742000000.0,0.0,10000.0,10000.0,3692050.0,1309883230657.0
