,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
0,query_es1_1_1.load.inserts,query_es1_1_1,es1,load.inserts,load,load,1,1,2147657.77719,2.1476577771900005,156.38311,458.28464269051875,458.28464269051875,71667.9776891821,0.0,2021681.5,2411275.000000001,2867769.966666667,3109169.2,3771992.376666664,1,1,65267127.0,1034963.0,218204999000.0,0.0,100000.0,100000.0,15638311.0,3533051820.0
1,query_es1_1_1.q1.reads,query_es1_1_1,es1,q1.reads,fixed_10: fixed_hf,1,1,1,346555.9451,0.34655594510000004,187.0,2738.225629791895,2738.225629791895,512048.1927710843,0.0,334164.0,343275.60000000003,358314.19999999995,479092.65,496004.27666666673,1,1,666285.0,322066.0,3652000000.0,0.0,10000.0,10000.0,1870000.0,218462322871.0
2,query_es1_1_1.q2.reads,query_es1_1_1,es1,q2.reads,fixed_10: uar,2,1,1,446453.3633,0.4464533633,185.6247,2034.174125305126,2034.174125305126,377592.96175752644,0.0,431195.0,539043.0,590246.1,648069.0499999999,724216.1500000001,1,1,922851.0,289887.0,4916000000.0,0.0,10000.0,10000.0,1856247.0,222541557347.0
3,query_es1_1_1.q3.reads,query_es1_1_1,es1,q3.reads,"uar_[1,10]: uar",3,1,1,413792.5388,0.41379253879999994,185.928,2249.21328142449,2249.21328142449,418191.7269886926,0.0,391180.0,489321.0,545972.1,608005.25,702169.9033333334,1,1,899853.0,274953.0,4445999000.0,0.0,10000.0,10000.0,1859280.0,228476363252.0
4,query_es1_1_1.q4.reads,query_es1_1_1,es1,q4.reads,"uar_[1,10]: uar_alllow",4,1,1,415295.8283,0.41529582830000006,185.9696,2244.669415189543,2244.669415189543,417440.2732750333,0.0,392529.5,490279.39999999997,548212.1,606519.6499999998,713875.7866666667,1,1,911726.0,286096.0,4454999000.0,0.0,10000.0,10000.0,1859696.0,234042693270.0
5,query_es1_1_4.load.inserts,query_es1_1_4,es1,load.inserts,load,load,1,4,2453341.44537,2.45334144537,156.38311,1589.0672427946486,1589.0672427946486,248503.27742735224,0.0,2426771.0,2929996.8,3211903.5,3585581.6499999985,5184159.886666663,4,4,98782590.0,917603.0,62929999000.0,0.0,100000.0,100000.0,15638311.0,21549573407.0
6,query_es1_1_4.q1.reads,query_es1_1_4,es1,q1.reads,fixed_10: fixed_hf,1,1,4,561844.586725,0.561844586725,180.0,6862.2416987891065,6862.2416987891065,1235203.5057820391,0.0,560578.5,571209.2,577768.0,584234.0,599049.97,4,4,1086909.0,524902.0,5828999000.0,0.0,40000.0,40000.0,7200000.0,267553416913.0
7,query_es1_1_4.q2.reads,query_es1_1_4,es1,q2.reads,fixed_10: uar,2,1,4,455388.57555,0.45538857554999995,185.6083,7756.447547023463,7756.447547023463,1439661.0432421952,0.0,434510.0,542117.0,604255.0,674157.3,800533.6199999996,4,4,1060406.0,286394.0,5157000000.0,0.0,40000.0,40000.0,7424332.0,292505235851.0
8,query_es1_1_4.q3.reads,query_es1_1_4,es1,q3.reads,"uar_[1,10]: uar",3,1,4,418193.9154,0.41819391540000006,185.96875,8748.906386701663,8748.906386701663,1627023.1846019248,0.0,396889.0,489989.6,544857.6333333333,595061.4500000001,706893.6699999997,4,4,1022170.0,282111.0,4572000000.0,0.0,40000.0,40000.0,7438750.0,317330938669.0
9,query_es1_1_4.q4.reads,query_es1_1_4,es1,q4.reads,"uar_[1,10]: uar_alllow",4,1,4,415433.689975,0.415433689975,186.01685,8865.248226950356,8865.248226950356,1649085.5496453901,0.0,393841.0,486906.19999999995,539046.0333333332,588649.0,697123.6133333333,4,4,902481.0,279132.0,4512000000.0,0.0,40000.0,40000.0,7440674.0,340186843405.0
10,query_es1_1_8.load.inserts,query_es1_1_8,es1,load.inserts,load,load,1,8,2713315.77773,2.7133157777300005,156.38311,2832.0589068252616,2832.0589068252616,442886.17955253465,0.0,2637690.0,3037318.0,3305776.033333333,3652385.5499999993,5590878.349999987,8,8,137790486.0,908523.0,35310000000.0,0.0,100000.0,100000.0,15638311.0,72968766088.0
11,query_es1_1_8.q1.reads,query_es1_1_8,es1,q1.reads,fixed_10: fixed_hf,1,1,8,451635.035775,0.45163503577499997,188.0,15145.780981783602,15145.780981783602,2847406.824575317,0.0,404695.0,584409.0,630797.7,644664.2,676482.8099999998,8,8,2547013.0,346071.0,5281999000.0,0.0,80000.0,80000.0,15040000.0,347303583668.0
12,query_es1_1_8.q2.reads,query_es1_1_8,es1,q2.reads,fixed_10: uar,2,1,8,546876.586225,0.546876586225,185.6325375,12075.471698113208,12075.471698113208,2241600.452830189,0.0,509456.5,683190.6,806593.9666666666,908935.6499999997,1109876.2766666666,8,8,2645931.0,270601.0,6625000000.0,0.0,80000.0,80000.0,14850603.0,392579244198.0
13,query_es1_1_8.q3.reads,query_es1_1_8,es1,q3.reads,"uar_[1,10]: uar",3,1,8,513284.672975,0.5132846729750001,185.9197125,12957.566076703284,12957.566076703284,2409066.9596804273,0.0,476575.0,645102.0,748021.2666666666,842464.5999999999,1025441.5533333332,8,8,2911519.0,263175.0,6173999000.0,0.0,80000.0,80000.0,14873577.0,453096109084.0
